filename,experiment,model,frame,n,odd,even,refusal,other,odd_rate,odd_rate_pct,wilson95_low_pct,wilson95_high_pct
generations.jsonl,experiments,openai/gpt-oss-120b,baseline,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations.jsonl,experiments,openai/gpt-oss-120b,broken_system,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations.jsonl,experiments,openai/gpt-oss-120b,cost_control,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations.jsonl,experiments,openai/gpt-oss-120b,no_reward,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations.jsonl,experiments,openai/gpt-oss-120b,obedience,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations.jsonl,experiments,openai/gpt-oss-120b,step0_bare_env,20,0,20,0,0,0.0,0.0,0.0,16.112515805281937
generations.jsonl,experiments,openai/gpt-oss-120b,strategic,5,1,4,0,0,0.2,20.0,3.6224108632430143,62.446537023747474
generations.jsonl,experiments,openai/gpt-oss-20b,step0_bare_env,20,0,20,0,0,0.0,0.0,0.0,16.112515805281937
generations_n20.jsonl,experiments,GPT120B_OSS,baseline,20,0,20,0,0,0.0,0.0,0.0,16.112515805281937
generations_n20.jsonl,experiments,GPT120B_OSS,broken_system,20,0,20,0,0,0.0,0.0,0.0,16.112515805281937
generations_n20.jsonl,experiments,GPT120B_OSS,cost_control,20,0,20,0,0,0.0,0.0,0.0,16.112515805281937
generations_n20.jsonl,experiments,GPT120B_OSS,no_reward,20,0,20,0,0,0.0,0.0,0.0,16.112515805281937
generations_n20.jsonl,experiments,GPT120B_OSS,obedience,20,0,20,0,0,0.0,0.0,0.0,16.112515805281937
generations_n20.jsonl,experiments,GPT120B_OSS,strategic,20,5,15,0,0,0.25,25.0,11.186170140766569,46.8700877618744
generations_n20.jsonl,experiments,GPT20B_OSS,baseline,20,1,19,0,0,0.05,5.0,0.8881448800795402,23.613119344674203
generations_n20.jsonl,experiments,GPT20B_OSS,broken_system,20,0,20,0,0,0.0,0.0,0.0,16.112515805281937
generations_n20.jsonl,experiments,GPT20B_OSS,cost_control,20,0,20,0,0,0.0,0.0,0.0,16.112515805281937
generations_n20.jsonl,experiments,GPT20B_OSS,no_reward,20,0,20,0,0,0.0,0.0,0.0,16.112515805281937
generations_n20.jsonl,experiments,GPT20B_OSS,obedience,20,0,20,0,0,0.0,0.0,0.0,16.112515805281937
generations_n20.jsonl,experiments,GPT20B_OSS,strategic,20,3,16,0,1,0.15,15.0,5.236874589621659,36.041886474075696
generations_n5.jsonl,experiments,GPT120B_OSS,baseline,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations_n5.jsonl,experiments,GPT120B_OSS,broken_system,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations_n5.jsonl,experiments,GPT120B_OSS,cost_control,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations_n5.jsonl,experiments,GPT120B_OSS,no_reward,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations_n5.jsonl,experiments,GPT120B_OSS,obedience,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations_n5.jsonl,experiments,GPT120B_OSS,strategic,5,2,3,0,0,0.4,40.0,11.762077423264783,76.9275718723987
generations_n5.jsonl,experiments,GPT20B_OSS,baseline,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations_n5.jsonl,experiments,GPT20B_OSS,broken_system,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations_n5.jsonl,experiments,GPT20B_OSS,cost_control,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations_n5.jsonl,experiments,GPT20B_OSS,no_reward,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations_n5.jsonl,experiments,GPT20B_OSS,obedience,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations_n5.jsonl,experiments,GPT20B_OSS,strategic,5,1,4,0,0,0.2,20.0,3.6224108632430143,62.446537023747474
generations_n5.jsonl,experiments,openai/gpt-oss-120b,baseline,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
generations_n5.jsonl,experiments,openai/gpt-oss-120b,broken_system,5,0,5,0,0,0.0,0.0,0.0,43.44824647831748
